comparison,metric,left_fail_right_fail,left_fail_right_pass,left_pass_right_fail,left_pass_right_pass,delta,mcnemar_p,bootstrap_low,bootstrap_high
A_to_B_system_gap,delivered,7,2,110,61,-0.6,2.437842123605363e-30,-0.6722222222222223,-0.5277777777777778
A_to_B_system_gap,final_pass,133,22,19,6,0.016666666666666666,0.755228657504631,-0.05555555555555555,0.08333333333333333
B_to_C_planner,delivered,82,35,26,37,0.05,0.30567741986311836,-0.03333333333333333,0.13333333333333333
B_to_C_planner,final_pass,133,19,18,10,0.005555555555555556,1,-0.06111111111111111,0.07222222222222222
C_to_D_verifier_replan,delivered,74,34,31,41,0.016666666666666666,0.8043170001933986,-0.07222222222222222,0.10555555555555556
C_to_D_verifier_replan,final_pass,134,17,17,12,0.0,1,-0.06111111111111111,0.06111111111111111
